lower_layer_super_output_areas_code,asian_asian_british_or_asian_welsh_bangladeshi,asian_asian_british_or_asian_welsh_chinese,asian_asian_british_or_asian_welsh_indian,asian_asian_british_or_asian_welsh_pakistani,asian_asian_british_or_asian_welsh_other_asian
E01002821,0.0027649769585253456,0.047926267281105994,0.041474654377880185,0.008294930875576038,0.03317972350230415
E01002823,0.0163265306122449,0.012244897959183673,0.027755102040816326,0.00816326530612245,0.04326530612244898
E01002824,0,0.025223759153783564,0.01871440195280716,0.005695687550854353,0.02034174125305126
E01002825,0.002802690582959641,0.02242152466367713,0.034753363228699555,0.005605381165919282,0.04147982062780269
E01002826,0.0031872509960159364,0.027091633466135457,0.028685258964143426,0.006374501992031873,0.05258964143426295
E01002827,0.0011682242990654205,0.0344626168224299,0.037967289719626166,0.0011682242990654205,0.04030373831775701
E01002828,0.004201680672268907,0.031932773109243695,0.010084033613445379,0.008403361344537815,0.040336134453781515
E01002829,0.003599712023038157,0.010079193664506839,0.009359251259899209,0.005039596832253419,0.017998560115190784
E01002830,0.0052113491603937466,0.008685581933989578,0.012159814707585408,0.02374059061957151,0.16386797915460335
E01002831,0.007553747821034283,0.009296920395119116,0.01220220801859384,0.004067402672864613,0.04125508425334108
E01002832,0.006731946144430845,0.009791921664626682,0.012239902080783354,6.119951040391676e-4,0.07833537331701346
E01002833,0.006589785831960461,0.01070840197693575,0.0214168039538715,0.004118616144975288,0.036243822075782535
E01002834,0.0016129032258064516,0.04758064516129032,0.03870967741935484,0.012096774193548387,0.0467741935483871
E01002835,0,0.07932011331444759,0.04036827195467422,0.007790368271954674,0.034702549575070823
E01002836,7.621951219512195e-4,0.027439024390243903,0.03277439024390244,0.008384146341463415,0.036585365853658534
E01002837,9.532888465204957e-4,0.02669208770257388,0.03336510962821735,0.002859866539561487,0.028598665395614873
E01002839,0.0025974025974025974,0.04935064935064935,0.02012987012987013,0.001948051948051948,0.04285714285714286
E01002840,0.011461318051575931,0.009551098376313277,0.018147086914995225,0.009551098376313277,0.08595988538681948
E01002841,0.007371007371007371,0.00819000819000819,0.027846027846027847,0.013923013923013924,0.0343980343980344
E01002842,0.07980295566502463,0.024630541871921183,0.019704433497536946,0.009852216748768473,0.07586206896551724
E01002843,0.045454545454545456,0.013097072419106317,0.01078582434514638,0.010015408320493066,0.06856702619414484
E01002844,0,0.016564952048823016,0.013077593722755012,0.007846556233653008,0.022667829119442023
E01002845,0.001710863986313088,0.019674935842600515,0.029940119760479042,0.00855431993156544,0.03934987168520103
E01002846,7.757951900698216e-4,0.03801396431342126,0.018619084561675717,0.012412723041117145,0.06982156710628394
E01002847,0.0021536252692031586,0.054558506819813356,0.03374012921751615,0.021536252692031587,0.06173725771715721
E01002848,0.004796163069544364,0.027977617905675458,0.02158273381294964,0.009592326139088728,0.05275779376498801
E01002849,6.489292667099286e-4,0.04931862426995458,0.024010382868267358,0.016223231667748216,0.04218040233614536
E01002850,0.002130681818181818,0.12073863636363637,0.03622159090909091,0.01278409090909091,0.046875
E01002851,0.015789473684210527,0.04887218045112782,0.030827067669172932,0.015037593984962405,0.09097744360902256
E01002852,0.017140279657194408,0.05051871898962562,0.013982859720342805,0.010825439783491205,0.060442038791159225
E01002853,0.026573426573426574,0.016783216783216783,0.02097902097902098,0.005594405594405594,0.015384615384615385
E01002854,0.006363636363636364,0.006363636363636364,0.01090909090909091,0.011818181818181818,0.05181818181818182
E01002855,0.016991818753933293,0.003775959723096287,0.010698552548772814,0.0012586532410320957,0.03146633102580239
E01002856,0.021678321678321677,0.011188811188811189,0.012587412587412588,0.0034965034965034965,0.03076923076923077
E01002857,0.03860160233066278,0.004369992716678805,0.011653313911143482,0.005098324836125273,0.06263656227239621
E01002858,0.18168054504163514,0.031037093111279335,0.028009084027252083,0.009084027252081756,0.03406510219530658
E01002859,0.004803843074459567,0.016813450760608487,0.025620496397117692,0.010408326661329063,0.041633306645316254
E01002860,8.748906386701663e-4,0.020122484689413824,0.016622922134733157,0.013123359580052493,0.026246719160104987
E01002861,7.968127490039841e-4,0.02151394422310757,0.013545816733067729,0.01593625498007968,0.0350597609561753
E01002862,0.0018281535648994515,0.043875685557586835,0.03016453382084095,0.008226691042047532,0.061243144424131625
E01002863,8.936550491510277e-4,0.02323503127792672,0.016979445933869526,0.004468275245755138,0.04289544235924933
E01002864,0.0033806626098715348,0.012846517917511832,0.0392156862745098,0.010818120351588911,0.05949966193373901
E01002865,0,0.022068965517241378,0.030344827586206897,0.004827586206896552,0.05586206896551724
E01002866,0,0.010393873085339168,0.022975929978118162,0.0087527352297593,0.1301969365426696
E01002867,0.02261904761904762,0.04047619047619048,0.01130952380952381,0.020833333333333332,0.06666666666666667
E01002868,0.016974169741697416,0.024354243542435424,0.03911439114391144,0.055350553505535055,0.03690036900369004
E01002869,0.0017241379310344827,0.021264367816091954,0.022413793103448276,0.004022988505747126,0.14195402298850573
E01002870,0.008150470219435737,0.003134796238244514,0.008150470219435737,0.005015673981191223,0.030721003134796237
E01002871,0.001367053998632946,0.01572112098427888,0.0177717019822283,0.004784688995215311,0.06630211893369788
E01002872,0.011860637509266123,0.008895478131949592,0.012601927353595256,0.002223869532987398,0.03780578206078577
E01002873,0.0014684287812041115,0.006607929515418502,0.005139500734214391,0.007342143906020558,0.0315712187958884
E01002874,0.001763668430335097,0.0026455026455026454,0.010582010582010581,0.0026455026455026454,0.03439153439153439
